;;;Haversian canals / %;Osteocytes / %;Cement lines / %;;;;;;
Donor_31;Left;3;4.536067077;13.67728803;15.49268937;;;;;;
Donor_32;Right;1;7.284454273;7.078921227;15.5132569;7.472505369;0.2273051;6.163210178;0.793030626;16.07604749;0.568101456
Donor_32;Right;2;7.72510329;5.703763695;16.64931489;;;;;;
Donor_32;Right;3;7.407958544;5.706945613;16.06557067;;;;;;
Donor_32;Left;1;6.745138609;5.578032588;16.05891658;6.8603272;0.102420774;5.550303624;0.566696759;16.10108153;0.198047572
Donor_32;Left;2;6.941131545;6.102626871;15.92751192;;;;;;
Donor_32;Left;3;6.894711446;4.970251412;16.31681607;;;;;;
Donor_33;Right;1;4.192634933;14.67717658;17.37021738;4.267248108;0.12923381;14.18899938;0.845547714;17.64259902;0.471778837
Donor_33;Right;2;4.192634933;14.67717658;17.37021738;;;;;;
Donor_33;Right;3;4.416474458;13.21264498;18.18736229;;;;;;
Donor_33;Left;1;5.284013323;14.45641306;17.18357499;5.594802772;0.368429475;15.44549614;1.98325571;16.90915764;0.862055473
Donor_33;Left;2;5.498607123;14.15129812;17.60059906;;;;;;
Donor_33;Left;3;6.001787871;17.72877724;15.94329888;;;;;;
Donor_34;Right;1;4.743767616;14.71531655;15.63243397;4.222815748;0.455281044;15.17244159;1.101240603;16.0083536;0.350624138
Donor_34;Right;2;4.02347648;16.4286268;16.32650793;;;;;;
Donor_34;Right;3;3.901203148;14.37338143;16.06611889;;;;;;
Donor_34;Left;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_34;Left;2;;;;;;;;;
Donor_34;Left;3;;;;;;;;;
Donor_35;Right;1;5.050271573;10.38693862;16.77245868;4.976059593;0.0781358;11.57594039;1.293768351;16.35382963;0.36614681
Donor_35;Right;2;4.983390522;11.38715164;16.19575744;;;;;;
Donor_35;Right;3;4.894516684;12.9537309;16.09327278;;;;;;
Donor_35;Left;1;4.095609539;10.18026428;17.5936297;4.254127204;0.151153191;10.37272999;0.450899006;17.37663622;0.345986143
Donor_35;Left;2;4.270129418;10.88792301;16.97763684;;;;;;
Donor_35;Left;3;4.396642653;10.05000266;17.55864211;;;;;;
Donor_36;Right;1;4.075230651;12.11108019;21.96480858;4.362778138;0.346025601;10.13221157;1.864520374;21.99938681;0.098306425
Donor_36;Right;2;4.266299828;9.877280823;22.11031039;;;;;;
Donor_36;Right;3;4.746803934;8.408273704;21.92304147;;;;;;
Donor_36;Left;1;;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!
Donor_36;Left;2;;;;;;;;;
Donor_36;Left;3;;;;;;;;;
Donor_37;Right;1;6.129367921;8.677495214;14.42096705;6.40664846;0.475156246;8.903561998;2.271275085;14.04133064;0.456982167
Donor_37;Right;2;6.955301028;6.75377395;14.16890785;;;;;;
Donor_37;Right;3;6.135276431;11.27941683;13.53411702;;;;;;
